	Approach	Dataset	Users	Items	Interactions	k	VarianceNDCG	MeanNDCG	VarianceExposure	VarianceExposureEqWeight	Entropy	Gini	MMS	IIF	GGF
1107	ITFR	yelp	846	859	1000	20	0.0006981450738048991	0.9781581305484544	482.9249507537581	3144.2599579064918	0.7893912150711725	0.8906562607106342	0.13736903376018628	0.40687620639801025	8.184460446733589e-09
1109	ITFR	yelp	846	859	1000	20	0.0006180126466597566	0.9787414066057771	694.8837040238526	3915.8105981858853	0.769770708559595	0.9063520037426215	0.12223515715948778	0.41944336891174316	7.881135931967007e-09
1111	ITFR	yelp	1187	1212	1500	20	0.0007491670060582505	0.9792729924067641	809.0258058082578	4385.752251957869	0.8087982386861075	0.8569933108253315	0.22194719471947194	0.5063859820365906	6.783772944232382e-09
1113	ITFR	yelp	1187	1212	1500	20	0.0006993275196331582	0.9811722022004241	723.508773999719	3880.6350902416975	0.8095037674353083	0.855842504578361	0.20627062706270627	0.5021445155143738	6.64283205328262e-09
1115	ITFR	yelp	1187	1212	1500	20	0.0006920187311577089	0.9810591026964264	601.4372188430123	3220.44037076975	0.8300868980766368	0.8413989436438396	0.23102310231023102	0.49535173177719116	6.642952072740759e-09
1117	ITFR	yelp	1187	1212	1500	20	0.0007006069955448278	0.9798823621479393	759.029394847682	3743.1614928819613	0.8219649842296042	0.8466713026221488	0.22442244224422442	0.5146282315254211	7.137910243891752e-09
1119	ITFR	yelp	1187	1212	1500	20	0.0006500572039424362	0.9807421071715964	559.6408052240932	3394.702747007374	0.8242861640347998	0.844310106055281	0.22442244224422442	0.5027013421058655	6.849149920667308e-09
1121	PCT	amazon	279	269	300	20	0.00012496368554610964	0.969724619455412	429.54844267492354	4174.131230911678	0.6448276612310782	0.7751898427880328	0.08921933085501858	0.0027871115369631333	4.030782207886295e-07
1123	PCT	amazon	279	269	300	20	0.00012434532850237048	0.9699077963435461	480.93320819783315	4421.357996710934	0.6204783338805624	0.796924537535254	0.08921933085501858	0.0028094099725835112	4.020939008432277e-07
1125	PCT	amazon	279	269	300	20	0.00012473602864659542	0.9697446382213699	434.8906068775029	4140.2947996849125	0.644112495668521	0.7802053603865721	0.08921933085501858	0.0028085150629837056	4.009724222887486e-07
1127	PCT	amazon	279	269	300	20	0.00013307310856475538	0.9701595450364653	355.6506985701531	3582.071751357775	0.6853905956777814	0.7476856716697349	0.09665427509293681	0.0027599369064581904	3.9934573554071505e-07
1129	PCT	amazon	279	269	300	20	0.0001256969165547345	0.969771910977196	449.1674498593437	4231.752048755544	0.6360709298080683	0.7875345231968215	0.08921933085501858	0.002801863738925644	4.021119810967014e-07
1131	PCT	amazon	324	311	350	20	0.00013034873163442147	0.9767466890272453	430.68383206895857	4443.082432977327	0.6620317619177228	0.7629509797101451	0.07717041800643087	0.002433503820570344	1.7334997026943911e-07
1133	PCT	amazon	324	311	350	20	0.000156965623638721	0.9766488527505859	480.8684922537288	4753.60333329887	0.6386665831080496	0.7864367400155892	0.07395498392282958	0.0024586141740576195	1.7336754993088937e-07
1135	PCT	amazon	324	311	350	20	0.000131460097782546	0.9767750042350329	451.86470056984535	4626.079217543243	0.6517473286320491	0.765527899782532	0.0707395498392283	0.00241814198683746	1.700136417820548e-07
