	Approach	Dataset	Users	Items	Interactions	k	Variance-NDCG	Variance-Exposure	Variance-ExposureEqWeight	Entropy	Gini	MMS	IIF
691	Baseline	movielens	411	444	700	40		872.7043403686841	12589.990260530798	0.6516436897532879	0.83570566952033	0.0945945945945946	
692	ITFR	movielens	411	444	700	40	0.00020831528855955105	66.93278667851487	757.2785488190893	0.9560992269107219	0.4238552117359057	0.3963963963963964	tensor(0.3967)
693	Baseline	movielens	500	546	1000	40		1038.373540054701	15006.22942747119	0.6403224348588804	0.8470224133222143	0.07875457875457875	
694	ITFR	movielens	500	546	1000	40	0.00020843940313780473	83.46555556581382	998.2330904748487	0.9487793491889691	0.4528728675315745	0.3717948717948718	tensor(0.3523)
695	Baseline	movielens	608	672	1500	40		1210.6180035338841	18289.26133786848	0.6268378089538397	0.8561525235378517	0.06398809523809523	
696	ITFR	movielens	608	672	1500	40	0.0003869560821585141	62.190587109993146	882.9964569160998	0.9593639171932499	0.3778031022439279	0.35267857142857145	tensor(0.3167)
697	Baseline	yelp	279	284	300	40		662.0108101659137	8911.553362428089	0.6821929870525338	0.7970725570581932	0.14084507042253522	
698	ITFR	yelp	279	284	300	40	7.775313446877612e-05	248.83338026603252	2081.644911723864	0.9094695563725678	0.6018342285858508	0.2746478873239437	tensor(0.3047)
699	Baseline	yelp	322	323	350	40		776.6382596087544	10527.062063280582	0.6699048662292295	0.8117030926486006	0.13003095975232198	
700	ITFR	yelp	322	323	350	40	5.815046388710294e-05	171.93827835959343	1243.346893001946	0.9416993971990234	0.5284770112702125	0.3622291021671827	tensor(0.2865)
701	Baseline	yelp	367	368	400	40		917.4936733857252	12381.74362003781	0.6545554599331551	0.8250306854098626	0.11413043478260869	
702	Baseline	yelp	452	456	500	40		1121.6243083402023	15345.894429055093	0.6348338458180633	0.8418530272853186	0.08991228070175439	
703	ITFR	yelp	452	456	500	40	5.476660244414455e-05	460.9455521521169	3674.27162203755	0.8703226218091693	0.7209127113942235	0.23903508771929824	tensor(0.3436)
704	Baseline	yelp	618	619	700	40		1589.5666147856723	21799.79227009012	0.6062367458806168	0.8628623582960807	0.06785137318255251	
705	ITFR	yelp	618	619	700	40	7.732479702721477e-05	704.9067663546706	5959.779346019036	0.8375023943938946	0.788885185779279	0.21324717285945072	tensor(0.3357)
706	Baseline	yelp	846	859	1000	40		2102.6090450497177	29040.190006247623	0.5858571317979181	0.87672651107683	0.05355064027939464	
707	ITFR	yelp	846	859	1000	40	0.00024368862233884874	1022.0611206848952	9157.950192510716	0.7924840484514568	0.8589975767082945	0.15715948777648428	tensor(0.4044)
708	Baseline	yelp	1187	1212	1500	40		3035.699293572158	41865.911648095505	0.5571558243990415	0.8906201771952833	0.03547854785478548	
709	ITFR	yelp	1187	1212	1500	40	0.00017261073807438125	822.2168143227733	7228.096466577351	0.8482211987995776	0.7760766142949665	0.25	tensor(0.4860)
710	Baseline	amazon	279	269	300	40		682.3933185248932	9101.885518442255	0.692804783886581	0.7930359165291531	0.15613382899628253	
711	PCT	amazon	279	269	300	40	4.8065002702524146e-05	641.5721956813932	8851.231243349317	0.7041106602589114	0.7832554862157634	0.15985130111524162	tensor(0.0028, dtype=torch.float64)
712	Baseline	amazon	324	311	350	40		819.6192038929505	11124.053204578116	0.6732030342845555	0.8100390673309089	0.13183279742765272	
713	PCT	amazon	324	311	350	40	4.4782360129414204e-05	674.3687730656904	9743.860278533104	0.7140269023602622	0.7764663403851332	0.1382636655948553	tensor(0.0024, dtype=torch.float64)
714	Baseline	amazon	366	353	400	40		927.3890748358538	12599.892335224586	0.6614173423758422	0.8222590338263015	0.11898016997167139	
715	Baseline	amazon	453	436	500	40		1174.5114856706016	16093.865709957076	0.6389352548240984	0.8406054944809656	0.09403669724770643	
716	PCT	amazon	453	436	500	40	5.401369582904365e-05	1032.6119772439665	14640.329012709368	0.665421249192554	0.8258754332445503	0.10321100917431193	tensor(0.0018, dtype=torch.float64)
717	Baseline	amazon	607	585	700	40		1598.8438958126976	21792.08587917306	0.6147029008483291	0.8610980573152238	0.0735042735042735	
